<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100
@

<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Veggies							// Category Name
		CaninaBerry,			*,		100,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		-1	// Sellvalue -1 means it can not be selled
        TTC_DMR_762Stanag_10rnd_UPC, M, 200, 100
        TTC_M82_5rnd_Mag, M, 600, 100
        TTC_M14_Mag_20rnd, M, 200, 100
        TTC_338mag_5rnd, M, 200, 100
        TTC_XM2010_10rnd, M, 200, 100
        TTC_AK12_Drum_90rnd, M, 800, 400
        TTC_G3_Magazine_20rnd, M, 200, 100
        TTC_HK417_Magazine_20rnd, M, 200, 100
        Mag_Kimber1911_10Rnd, M, 200, 100
        TTC_Mag_M9_15Rnd, M, 200, 100
        TTC_AKMod_762x54_30rnd, M, 200, 100
        TTC_AKMod_762x54_65rnd, M, 400, 100
        TTC_FAL_Magazine, M, 400, 100
        TTC_Coupled_FAL_Magazine, M, 900, 100
        TTC_AG3_Coupled_Magazine_40rnd, M, 900, 100
        TTC_Raptr_Drum_45rnd, M, 900, 100
        TTC_AVS36_Mag_10rnd, M, 900, 100
        TTC_Deagle_Magazine_7rnd, M, 900, 100
        TTC_Mag_Glock_17Rnd, M, 900, 100
        TTC_Mag_M9_Custom_20Rnd, M, 900, 100
        TTC_MPX_Mag_60rnd, M, 900, 100
        TTC_MPX_Mag_30rnd, M, 900, 100
        TTC_PP91_Mag_20rnd, M, 900, 100
        TTC_UZI_Mag_30rnd, M, 900, 100
        TTC_300Cmag_60rnd, M, 900, 100
        TTC_MP7A1_Mag_40rnd, M, 900, 100
        TTC_Mag_SVT40_10rnd, M, 900, 100
        TTC_STG44_Magazine_30rnd, M, 900, 100
        TTC_GEVAR43_Magazine_10rnd, M, 1000, 200
        TTC_TAVOR_Magazine_30rnd, M, 700, 100
        TTC_TAVOR_Magazine_60rnd, M, 900, 100
        TTC_MCX_Spear_Magazine_20rnd, M, 900, 100
        TTC_P320_17Rnd, M, 200, 100
		
	<Category> Handguards

    //  Vanilla Handguards
		MP5_PlasticHndgrd,		*,		100,	50
		MP5_RailHndgrd,			*,		150,	75
		AK74_Hndgrd,			*,		150,	75
		AK_WoodHndgrd,			*,		200,	100
		AK_RailHndgrd,			*,		200,	100
		AK_PlasticHndgrd,		*,		200,	100
		M4_PlasticHndgrd,		*,		150,	75
		M4_RISHndgrd,			*,		200,	100
		M4_MPHndgrd,			*,		200,	100

    //  Modded Handguards
        TTC_DMR_Hndguard, *, 250, 125
        TTC_DMR_HndguardOD, *, 250, 125
        TTC_DMR_HndguardDesert, *, 250, 125
        TTC_AKMod_Hndguard, *, 250, 125
        TTC_AKMod_Gold_Hndguard, *, 250, 125
        TTC_AKMod_Snow_Hndguard, *, 250, 125
        TTC_AKMod_Multi_Hndguard, *, 250, 125
        TTC_AKMod_Digi_Hndguard, *, 250, 125
        TTC_AKMod_Tan_Hndguard, *, 250, 125
        TTC_FAL_RIS_Hndgrd, *, 250, 125
        TTC_FAL_Wood_Hndgrd, *, 250, 125
        TTC_FAL_Poly_Hndgrd, *, 250, 125
        TTC_DMR_HndguardSnow, *, 250, 125

	<Category> Buttstocks

    //  Vanilla Buttstocks
		MP5k_StockBttstck,		*,		100,	50
		Fal_OeBttstck,			*,		100,	50
		Fal_FoldingBttstck,		*,		150,	75
		Saiga_Bttstck,			*,		150,	75
		AKS74U_Bttstck,			*,		150,	75
		AK74_WoodBttstck,		*,		150,	75
		AK_PlasticBttstck,		*,		100,	50
		AK_WoodBttstck,			*,		150,	75
		AK_FoldingBttstck,		*,		250,	125
		M4_OEBttstck,			*,		150,	75
		M4_CQBBttstck,			*,		150,	75
		M4_MPBttstck,			*,		150,	75
    
    // Modded Buttstocks
        TTC_Buttstock, *, 300, 150
        TTC_Buttstock2, *, 300, 150
        TTC_Buttstock3, *, 300, 150
        TTC_Buttstock_Honey, *, 300, 200
        TTC_Buttstock_Camo, *, 300, 200
        TTC_Buttstock_Digitan, *, 300, 200
        TTC_Buttstock_Tan, *, 300, 200
        TTC_Buttstock_UPC, *, 300, 200
        TTC_ButtstockHK, *, 300, 200
        TTC_Buttstock_Morty, *, 300, 200
        TTC_Buttstock_AK12, *, 300, 200
        TTC_AKMod_bttstk, *, 300, 200
        TTC_AKMod_Gold_bttstk, *, 300, 200
        TTC_AKMod_Snow_bttstk, *, 300, 200
        TTC_AKMod_Multi_bttstk, *, 300, 200
        TTC_AKMod_Digi_bttstk, *, 300, 200
        TTC_AKMod_Tan_bttstk, *, 300, 200
        TTC_FAL_Wood_Bttstck, *, 300, 200
        TTC_MPXMCX1_Bttstck, *, 300, 200
        TTC_MPXMCX1_Bttstck2, *, 300, 200
        TTC_MPXMCX2_Bttstck, *, 300, 
        TTC_Buttstock_CAR15, *, 300, 150
        TTC_MPXMCXSPEAR_Bttstck, *, 300, 150

	<Category> Optics

    //  Vanilla Optics
		M4_CarryHandleOptic,	*,		150,	60
		BUISOptic,				*,		150,	60
		FNP45_MRDSOptic,		*,		250,	100
		ACOGOptic,				*,		300,	120
		M68Optic,				*,		500,	200
		M4_T3NRDSOptic,			*,		500,	200
		KobraOptic,				*,		600,	250
		KashtanOptic,			*,		700,	300
		PUScopeOptic,			*,		900,	500
		HuntingOptic,			*,		1000,	550
		PSO1Optic,				*,		1100,	600	
		PSO11Optic,				*,		1400,	840
		KazuarOptic,			*,		2200,	1400
	
    //  Modded Optics
        TTC_G3_Optic, *, 5000, 2000
        TTC_BugBuster, *, 5000, 2000
        TTC_Holo, *, 5000, 2000
        TTC_HAMR, *, 5000, 2000
        TTC_Razor, *, 5000, 2000
        TTC_G28_Optic, *, 5000, 2000
        TTC_Aimpoint2000, *, 5000, 2000
        TTC_VortexSE_Optic, *, 5000, 2000
        TTC_VortexRHDAMG_Optic, *, 7000, 2000
        TTC_Elcan, *, 5000, 2000
        TTC_Pistol_Optic, *, 5000, 2000
        TTC_EotechVudu_Optic, *, 5000, 2000
        TTC_EotechVudu_Tan_Optic, *, 5000, 2000
        TTC_EotechVudu_White_Optic, *, 5000, 2000
        TTC_EotechVudu_AK_Optic, *, 5000, 2000
        TTC_EotechVudu_Tan_AK_Optic, *, 5000, 2000
        TTC_EotechVudu_White_AK_Optic, *, 5000, 2000
        TTC_HAMR_AK, *, 5000, 2000
        TTC_Elcan_AK, *, 5000, 2000

	<Category> Supressors

    //  Vanilla Supressors
		PistolSuppressor,		*,		1050,	75
		AK_Suppressor,			*,		2500,	125
		M4_Suppressor,			*,		2500,	125
		
    //  Modded Suppressors
        TTC_Universal_Suppressor_BLACK, *, 500, 200
        TTC_Universal_Suppressor_CAMO, *, 500, 200
        TTC_Honey_Suppressor, *, 500, 200
        TTC_Universal_Suppressor_Tan, *, 500, 200
        TTC_Universal_Suppressor_Snow, *, 500, 200
        TTC_DMR_Suppressor, *, 500, 200
        TTC_DMR_AFG, *, 500, 200
        TTC_DMR_AFG_Green, *, 500, 200
        TTC_DMR_AFG_Tan, *, 500, 200
        TTC_DMR_VFG, *, 500, 200
        TTC_DMR_VFG_Green, *, 500, 200
        TTC_DMR_VFG_Tan, *, 500, 200
        TTC_DMR_Bipod, *, 500, 200
        TTC_M14Suppressor, *, 500, 200
        TTC_AKMOD_AFG, *, 500, 200
        TTC_AKMod_Suppressor, *, 500, 200
        TTC_PistolSuppressor, *, 500, 200
        TTC_MCX_Spear_Suppressor, *, 500, 200
        TTC_Universal_Suppressor_TAVOR, *, 500, 200
        TTC_Universal_Suppressor_TAVOR_Tan, *, 500, 200
        TTC_MCX_Spear_Suppressor_Black, *, 500, 200

	<Category> Compensators
		Mosin_Compensator,		*,		150,	75
		MP5_Compensator,		*,		200,	100

	<Category> Bayonets
		Mosin_Bayonet,			*,		100,	60
		M9A1_Bayonet,			*,		150,	75
		AK_Bayonet,				*,		150,	75
		SKS_Bayonet,			*,		100,	60
        TTC_SVT40_Bayonet, *, 250, 125
		
	<Category> Flashlights
		Universallight,			*,		120,	60
        TTC_Pistol_Light, *, 250, 125
	
    <Category> Weapon Parts
        TTC_DMR_Barrel_556, *, 10000, 7500
        TTC_DMR_Barrel_762, *, 11000, 7500
        TTC_DMR_RifleFrame, *, 20000, 7500
        TTC_AKMod_Barrel_76239, *, 11000, 7500
        TTC_AKMod_Barrel_76254, *, 11000, 7500
        TTC_AKMod_RifleFrame, *, 20000, 7500

<Trader> Clothing Trader
<Category>MMG NBC gear
		MMG_nbc_pouch,		                    	*,		5000,		500

		<Category>MMG goggles
		mmg_tac_goggles_red_green,		                    	*,		5000,		500
		mmg_tac_goggles_red_black,		                    	*,		5000,		500
		mmg_tac_goggles_red_tan,		                    	*,		5000,		500

		<Category>MMG Armored Helmet/Visor
		mmg_armored_helmet_green,		                    	*,		5000,		500
		mmg_armored_helmet_black,		                    	*,		5000,		500
		mmg_armored_helmet_tan,		                    	*,		5000,		500
		mmg_armored_helmet_visor_tan,		                    	*,		5000,		500
		mmg_armored_helmet_visor_black,		                    	*,		5000,		500
		mmg_armored_helmet_visor_green,		                    	*,		5000,		500


		<Category>MMG Sniper Boonie
		mmg_boonie_green,		                    	*,		5000,		500
		mmg_boonie_black,		                    	*,		5000,		500
		mmg_boonie_tan,		                    	*,		5000,		500
		mmg_boonie_erdl,		                    	*,		5000,		500
		mmg_boonie_multicam,		                *,		5000,		500
		mmg_boonie_multicamblack,		                *,		5000,		500
		mmg_boonie_alpine,		                    	*,		5000,		500
		mmg_boonie_dark_woodland,		                *,		5000,		500
		mmg_boonie_ucp,		                    	*,		5000,		500
		mmg_boonie_multicam_tropic,		                   *,		5000,		500


		<Category>MMG Chest Rig
			mmg_chestrig_green, *,   2500,  1000
			mmg_chestrig_black, *,   2500,  1000
			mmg_chestrig_tan, *,   2500,  1000
			mmg_chestrig_erdl, *,   2500,  1000
			mmg_chestrig_multicam, *,   2500,  1000
			mmg_chestrig_multicamblack, *,   2500,  1000
			mmg_chestrig_alpine, *,   2500,  1000
			mmg_chestrig_dark_woodland, *,   2500,  1000
			mmg_chestrig_ucp, *,   2500,  1000
			mmg_chestrig_multicam_tropic, *,   2500,  1000
			mmg_chestrig_atacs, *,   2500,  1000
		
		<Category>MMG Plate Carriers
			MMG_JPC_Vest_Black, *,   5000,  1000
			MMG_JPC_Vest_olive, *,   5000,  1000
			MMG_JPC_Vest_tan, *,   5000,  1000
			MMG_JPC_Vest_multicam, *,   5000,  1000
			MMG_JPC_Vest_alpine, *,   5000,  1000
			MMG_JPC_Vest_erdl, *,   5000,  1000
			MMG_JPC_Vest_multicamblack, *,   5000,  1000
			MMG_JPC_Vest_multicam_tropic, *,   5000,  1000
			MMG_JPC_Vest_ucp, *,   5000,  1000
			MMG_JPC_Vest_dark_woodland, *,   5000,  1000
			MMG_JPC_Vest_atacs, *,   5000,  1000
			
		<Category>MMG Tactical-TEC Vest
			MMG_tt_vest_black, *,   5000,  1000
			MMG_tt_vest_green, *,   5000,  1000
			MMG_tt_vest_tan, *,   5000,  1000
			MMG_tt_vest_mutlicam, *,   5000,  1000
			MMG_tt_vest_alpine, *,   5000,  1000
			MMG_tt_vest_erdl, *,   5000,  1000
			MMG_tt_vest_multicamblack, *,   5000,  1000
			MMG_tt_vest_dark_woodland, *,   5000,  1000
			MMG_tt_vest_ucp, *,   5000,  1000
			MMG_tt_vest_police, *,   5000,  1000
			MMG_tt_vest_multicam_tropic, *,   5000,  1000
			MMG_tt_vest_atacs, *,   5000,  1000
			MMG_tt_vest_admin, *,   -1,  150000
			
		<Category>MMG MK-III Armor
			MMG_MK_III_Armor_black, *,   15000,  2000
			MMG_MK_III_Armor_green, *,   15000,  2000
			MMG_MK_III_Armor_tan, *,   15000,  2000
			MMG_MK_III_Armor_multicamblack, *,   15000,  2000
			MMG_MK_III_Armor_multicam, *,   15000,  2000
			MMG_MK_III_Armor_erdl, *,   15000,  2000
			MMG_MK_III_Armor_alpine, *,   15000,  2000
			MMG_MK_III_Armor_dark_woodland, *,   7500,  2000
			MMG_MK_III_Armor_ucp, *,   15000,  2000
			MMG_MK_III_Armor_multicam_tropic, *,   15000,  2000
			MMG_MK_III_Armor_atacs, *,   15000,  2000
			
		
		<Category>MMG Pouches
			MMG_Mag_Pouch_Black,  *, 2500,  500
			MMG_Mag_Pouch_olive,  *, 2500,  500
			MMG_Mag_Pouch_tan,  *, 2500,  500
			MMG_Mag_Pouch_multicam,  *, 2500,  500
			MMG_Mag_Pouch_alpine,  *, 2500,  500
			MMG_Mag_Pouch_erdl,  *, 2500,  500
			MMG_Mag_Pouch_dark_woodland,  *, 2500,  500
			MMG_Mag_Pouch_ucp,  *, 2500,  500
			MMG_Mag_Pouch_multicam_tropic,  *, 2500,  500
			MMG_Mag_Pouch_multicamblack,  *, 2500,  500
			MMG_Mag_Pouch_atacs,  *, 2500,  500
			
			MMG_double_magpouch_black,  *, 3500,  500
			MMG_double_magpouch_green,  *, 3500,  500
			MMG_double_magpouch_tan,  *, 3500,  500
			MMG_double_magpouch_multicam,  *, 3500,  500
			MMG_double_magpouch_atacs,  *, 3500,  500
			MMG_double_magpouch_alpine,  *, 3500,  500
			MMG_double_magpouch_erdl,  *, 3500,  500
			MMG_double_magpouch_multicamblack,  *, 3500,  500
			MMG_double_magpouch_dark_woodland,  *, 3500,  500
			MMG_double_magpouch_ucp,  *, 3500,  500
			MMG_double_magpouch_multicam_tropic,  *, 3500,  500
			MMG_double_magpouch_atacs,  *, 3500,  500
			
			MMG_triple_magpouch_multicam_tropic,  *, 3500,  500
			MMG_triple_magpouch_dark_woodland,  *, 3500,  500
			MMG_triple_magpouch_alpine,  *, 3500,  500
			MMG_triple_magpouch_green,  *, 3500,  500
			MMG_triple_magpouch_erdl,  *, 3500,  500
			MMG_triple_magpouch_ucp,  *, 3500,  500
			MMG_triple_magpouch_multicamblack,  *, 3500,  500
			MMG_triple_magpouch_tan,  *, 3500,  500
			MMG_triple_magpouch_multicam,  *, 3500,  500
			MMG_triple_magpouch_black,  *, 3500,  500
			MMG_triple_atacs,  *, 3500,  500


			MMG_Med_Pouch_black,  *, 2500,  500
			MMG_Med_Pouch_multicam,  *, 2500,  500
			MMG_Med_Pouch_Olive,  *, 2500,  500
			MMG_Med_Pouch_alpine,  *, 2500,  500
			MMG_Med_Pouch_erdl,  *, 2500,  500
			MMG_Med_Pouch_multicamblack,  *, 2500,  500
			MMG_Med_Pouch_dark_woodland,  *, 2500,  500
			MMG_Med_Pouch_ucp,  *, 2500,  500
			MMG_Med_Pouch_multicam_tropic,  *, 2500,  500
			MMG_Med_Pouch_atacs,  *, 2500,  500
			
			MMG_ammo_pouch_black,  *, 2500,  500
			MMG_ammo_pouch_olive,  *, 2500,  500
			MMG_ammo_pouch_multicam,  *, 2500,  500
			MMG_ammo_pouch_tan,  *, 2500,  500
			MMG_ammo_pouch_alpine,  *, 2500,  500
			MMG_ammo_pouch_erdl,  *, 2500,  500
			MMG_ammo_pouch_multicamblack,  *, 2500,  500
			MMG_ammo_pouch_dark_woodland,  *, 2500,  500
			MMG_ammo_pouch_ucp,  *, 2500,  500
			MMG_ammo_pouch_multicam_tropic,  *, 2500,  500
			MMG_ammo_pouch_atacs,  *, 2500,  500
			
			MMG_tactical_pouch_tan,  *, 2500,  500
			MMG_tactical_pouch_black,  *, 2500,  500
			MMG_tactical_pouch_green,  *, 2500,  500
			MMG_tactical_pouch_alpine,  *, 2500,  500
			MMG_tactical_pouch_erdl,  *, 2500,  500
			MMG_tactical_pouch_multicamblack,  *, 2500,  500
			MMG_tactical_pouch_dark_woodland,  *, 2500,  500
			MMG_tactical_pouch_ucp,  *, 2500,  500
			MMG_tactical_pouch_multicam_tropic,  *, 2500,  500
			MMG_tactical_pouch_atacs,  *, 2500,  500

		<Category>MMG Backpacks
			MMG_carrier_backpack_black,   *,  7500, 2000
			MMG_carrier_backpack_olive,   *,  7500, 2000
			MMG_carrier_backpack_tan,   *,  7500, 2000
			MMG_carrier_backpack_multicam,   *,  7500, 2000
			MMG_carrier_backpack_alpine,   *,  7500, 2000
			MMG_carrier_backpack_erdl,   *,  7500, 2000
			MMG_carrier_backpack_multicamblack,   *,  7500, 2000
			MMG_carrier_backpack_dark_woodland		*,  7500, 2000
			MMG_carrier_backpack_ucp				*,  7500, 2000
			MMG_carrier_backpack_multicam_tropic	*,  7500, 2000
			MMG_carrier_backpack_atacs				*,  7500, 2000
			
			MMG_supplybag_black,   *,  7500, 2000
			MMG_supplybag_green,   *,  7500, 2000			
			MMG_supplybag_tan,   *,  7500, 2000
			MMG_supplybag_alpine,   *,  7500, 2000
			MMG_supplybag_erdl,   *,  7500, 2000
			MMG_supplybag_multicamblack,   *,  7500, 2000
			MMG_supplybag_multicam,   *,  7500, 2000
			MMG_supplybag_dark_woodland,   *,  7500, 2000
			MMG_supplybag_ucp,   *,  7500, 2000
			MMG_supplybag_multicam_tropic,   *,  7500, 2000
			MMG_supplybag_atacs,   *,  7500, 2000
			
			
			MMG_assault_pack_black,   *,  7500, 2000
			MMG_assault_pack_olive,   *,  7500, 2000
			MMG_assault_pack_tan,   *,  7500, 2000
			MMG_assault_pack_dark_woodland,   *,  7500, 2000
			MMG_assault_pack_erdl,   *,  7500, 2000
			MMG_assault_pack_multicam,   *,  7500, 2000
			MMG_assault_pack_multicamblack,   *,  7500, 2000
			MMG_assault_pack_alpine,   *,  7500, 2000
			MMG_assault_pack_ucp,   *,  7500, 2000
			MMG_assault_pack_mct,   *,  7500, 2000
			MMG_assault_pack_atacs,   *,  7500, 2000
			
			MMG_camelback_tan,   *,  7500, 2000
			MMG_camelback_black,   *,  7500, 2000
			MMG_camelback_green,   *,  7500, 2000
			MMG_camelback_multicamblack,   *,  7500, 2000
			MMG_camelback_multicam,   *,  7500, 2000
			MMG_camelback_erdl,   *,  7500, 2000
			MMG_camelback_alpine,   *,  7500, 2000
			MMG_camelback_dark_woodland,   *,  7500, 2000
			MMG_camelback_ucp,   *,  7500, 2000
			MMG_camelback_multicam_tropic,   *,  7500, 2000
			MMG_camelback_atacs,   *,  7500, 2000
			
			MMG_mmps_bag_black,   *,  7500, 2000
			MMG_mmps_bag_green,   *,  7500, 2000
			MMG_mmps_bag_tan,   *,  7500, 2000
			MMG_mmps_bag_multicam,   *,  7500, 2000
			MMG_mmps_bag_multicam_tropic,   *,  7500, 2000
			MMG_mmps_bag_multicamblack,   *,  7500, 2000
			MMG_mmps_bag_dark_woodland,   *,  7500, 2000
			MMG_mmps_bag_erdl,   *,  7500, 2000
			MMG_mmps_bag_alpine,   *,  7500, 2000
			MMG_mmps_bag_ucp,   *,  7500, 2000
			MMG_mmps_bag_atacs,   *,  7500, 2000

		<Category>MMG Belt
			MMG_falcon_b1_belt_olive,   *,  1000,   250
			MMG_falcon_b1_belt_black,   *,  1000,   250
			MMG_falcon_b1_belt_tan,   *,  1000,   250
			MMG_falcon_b1_belt_alpine,   *,  1000,   250
			MMG_falcon_b1_belt_erdl,   *,  1000,   250
			MMG_falcon_b1_belt_multicamblack,   *,  1000,   250
			MMG_falcon_b1_belt_multicam,   *,  1000,   250
			MMG_falcon_b1_belt_dark_woodland,   *,  1000,   250
			MMG_falcon_b1_belt_ucp,   *,  1000,   250
			MMG_falcon_b1_belt_multicam_tropic,   *,  1000,   250
			MMG_falcon_b1_belt_atacs,   *,  1000,   250

		<Category>MMG Helmets
			MMG_tactical_helmet_black,   *,   2500,  500
			MMG_tactical_helmet_green,   *,   2500,  500
			MMG_tactical_helmet_tan,   *,   2500,  500
			MMG_tactical_helmet_multicam,   *,   2500,  500
			MMG_tactical_helmet_alpine,   *,   2500,  500
			MMG_tactical_helmet_erdl,   *,   2500,  500
			MMG_tactical_helmet_multicamblack,   *,   2500,  500
			MMG_tactical_helmet_dark_woodland,   *,   2500,  500
			MMG_tactical_helmet_ucp,   *,   2500,  500
			MMG_tactical_helmet_multicam_tropic,   *,   2500,  500
			MMG_tactical_helmet_police,   *,   2500,  500
			MMG_tactical_helmet_atacs,   *,   2500,  500
			
			MMG_striker_helmet_rusty,   *,   7500,  500
			MMG_striker_helmet_black,   *,   7500,  500
			MMG_striker_helmet_green,   *,   7500,  500
			MMG_striker_helmet_tan,   *,   7500,  500
			MMG_striker_helmet_alpine,   *,   7500,  500
			MMG_striker_helmet_erdl,   *,   7500,  500
			MMG_striker_helmet_multicamblack,   *,   7500,  500
			MMG_striker_helmet_multicam,   *,   7500,  500
			MMG_striker_helmet_dark_woodland,   *,   7500,  500
			MMG_striker_helmet_admin,   *,   7500,  500
			MMG_striker_helmet_ucp,   *,   -1,  50000
			MMG_striker_helmet_multicam_tropic,   *,   7500,  500
			MMG_striker_helmet_atacs,   *,   7500,  500

		<Category>MMG Helmet Attachments
			MMG_headphones_black,   *,   2500,  500
			MMG_headphones_green,   *,   2500,  500
			MMG_headphones_tan,   *,   2500,  500
			MMG_headphones_ucp,   *,   2500,  500
			
			MMG_ballistic_earcover_black,   *,   2500,  500
			MMG_ballistic_earcover_green,   *,   2500,  500
			MMG_ballistic_earcover_tan,   *,   2500,  500
			
			MMG_tactical_visor_black,		              	*,		5000,		500
			MMG_tactical_visor_green,		                *,		5000,		500
			MMG_tactical_visor_tan,		                   	*,		5000,		500

		<Category>MMG Holster:
			MMG_Holster_black,   *,   2500,  500
			MMG_Holster_green,   *,   2500,  500
			MMG_Holster_tan,   *,   2500,  500
			MMG_Holster_alpine,   *,   2500,  500
			MMG_Holster_erdl,   *,   2500,  500
			MMG_Holster_multicamblack,   *,   2500,  500
			MMG_Holster_multicam,   *,   2500,  500
			MMG_Holster_dark_woodland,   *,   2500,  500
			MMG_Holster_ucp,   *,   2500,  500
			MMG_Holster_multicam_tropic,   *,   2500,  500
			MMG_Holster_atacs,   *,   2500,  500

		<Category>MMG Sheath
			MMG_sheath_black,   *,   2500,  500
			MMG_sheath_olive,   *,   2500,  500
			MMG_sheath_tan,   *,   2500,  500
			MMG_sheath_mcb_digital,   *,   2500,  500
			MMG_sheath_alpine,   *,   2500,  500
			MMG_sheath_erdl,   *,   2500,  500
			MMG_sheath_multicamblack,   *,   2500,  500
			MMG_sheath_multicam,   *,   2500,  500
			MMG_sheath_dark_woodland,   *,   2500,  500
			MMG_sheath_ucp,   *,   2500,  500
			MMG_sheath_atacs,   *,   2500,  500
							
		<Category>MMG Bottle
			MMG_bottle_black,   *,   2500,  500
			MMG_bottle_olive,   *,   2500,  500
			MMG_bottle_tan,   *,   2500,  500
			MMG_bottle_alpine,   *,   2500,  500
			MMG_bottle_erdl,   *,   2500,  500
			MMG_bottle_multicamblack,   *,   2500,  500
			MMG_sheath_multicam_tropic,   *,   2500,  500
			MMG_bottle_multicam,   *,   2500,  500
			MMG_bottle_dark_woodland,   *,   2500,  500
			MMG_bottle_ucp,   *,   2500,  500
			MMG_bottle_multicam_tropic,   *,   2500,  500
			MMG_bottle_atacs,   *,   2500,  500

		<Category>MMG Carbine
			MMG_carbine_red,   *,   2500,  500
			MMG_carbine_green,   *,   2500,  500
			MMG_carbine_orange,   *,   2500,  500
			MMG_carbine_blue,   *,   2500,  500
			MMG_carbine_black,   *,   2500,  500
			MMG_carbine_grey,   *,   2500,  500

		<Category>MMG Combatpants
			MMG_combatpants_olive,   *,   2500,  500
			MMG_combatpants_black,   *,   2500,  500
			MMG_combatpants_tan,   *,   2500,  500
			MMG_combatpants_alpine,   *,   2500,  500
			MMG_combatpants_erdl,   *,   2500,  500
			MMG_combatpants_multicamblack,   *,   2500,  500
			MMG_combatpants_multicam,   *,   2500,  500
			MMG_combatpants_erdl,   *,   2500,  500
			MMG_combatpants_dark_woodland,   *,   2500,  500
			MMG_combatpants_admin,   *,   -1,  50000
			MMG_combatpants_ucp,   *,   2500,  500
			MMG_combatpants_multicam_tropic,   *,   2500,  500
			MMG_combatpants_police,   *,   2500,  500
			MMG_combatpants_atacs,   *,   2500,  500
			
		<Category>MMG Tactical Pants
			mmg_tactical_pants_black,   *,   2500,  500
			mmg_tactical_pants_green,   *,   2500,  500
			mmg_tactical_pants_tan,   *,   2500,  500
			mmg_tactical_pants_ucp,   *,   2500,  500
			mmg_tactical_pants_multicam,   *,   2500,  500
			mmg_tactical_pants_erdl,   *,   2500,  500
			mmg_tactical_pants_atacs,   *,   2500,  500
			mmg_tactical_pants_multicamblack,   *,   2500,  500
			mmg_tactical_pants_multicam_tropic,   *,   2500,  500
			mmg_tactical_pants_alpine,   *,   2500,  500
			mmg_tactical_pants_dark_woodland,   *,   2500,  500
			mmg_tactical_pants_atacs,   *,   2500,  500

		<Category>MMG Combatshirt
			MMG_combatshirt_green,   *,   2500,  500
			MMG_combatshirt_black,   *,   2500,  500
			MMG_combatshirt_tan,   *,   2500,  500
			MMG_combatshirt_alpine,   *,   2500,  500
			MMG_combatshirt_erdl,   *,   2500,  500
			MMG_combatshirt_multicamblack,   *,   2500,  500
			MMG_combatshirt_multicam,   *,   2500,  500
			MMG_combatshirt_dark_woodland,   *,   2500,  500
			MMG_combatshirt_admin,   *,   -1,  50000
			MMG_combatshirt_ucp,   *,   2500,  500
			MMG_combatshirt_multicam_tropic,   *,   2500,  500
			MMG_combatshirt_police,   *,   2500,  500
			MMG_combatshirt_atacs,   *,   2500,  500

			
		<Category>MMG Operator Shirt
			MMG_operatorshirt_black,   *,   2500,  500
			MMG_operatorshirt_green,   *,   2500,  500
			MMG_operatorshirt_tan,   *,   2500,  500
			MMG_operatorshirt_erdl,   *,   2500,  500
			MMG_operatorshirt_multicamblack,   *,   2500,  500
			MMG_operatorshirt_multicam,   *,   2500,  500
			MMG_operatorshirt_dark_woodland,   *,   2500,  500
			MMG_operatorshirt_alpine,   *,   2500,  500
			MMG_operatorshirt_ucp,   *,   2500,  500
			MMG_operatorshirt_multicam_tropic,   *,   2500,  500
			MMG_operatorshirt_atacs,   *,   2500,  500
		
		<Category>MMG Tactical Shirt
			MMG_tactical_shirt_ucp,   *,   2500,  500
			MMG_tactical_shirt_black,   *,   2500,  500
			MMG_tactical_shirt_green,   *,   2500,  500
			MMG_tactical_shirt_tan,   *,   2500,  500
			MMG_tactical_shirt_multicamblack,   *,   2500,  500
			MMG_tactical_shirt_erdl,   *,   2500,  500
			MMG_tactical_shirt_dark_wl,   *,   2500,  500
			MMG_tactical_shirt_alpine,   *,   2500,  500
			MMG_tactical_shirt_multicam,   *,   2500,  500
			MMG_tactical_shirt_multicam_tropic,   *,   2500,  500
			MMG_tactical_shirt_atacs,   *,   2500,  500
			
		<Category>MMG Tactical Gloves
			mmg_tactical_gloves_black,   *,   2500,  500
			mmg_tactical_gloves_green,   *,   2500,  500
			mmg_tactical_gloves_tan,   *,   2500,  500
			mmg_tactical_gloves_multicam,   *,   2500,  500
			mmg_tactical_gloves_multicamblack,   *,   2500,  500
			mmg_tactical_gloves_erdl,   *,   2500,  500
			mmg_tactical_gloves_alpine,   *,   2500,  500
			mmg_tactical_gloves_dark_woodland,   *,   2500,  500
			mmg_tactical_gloves_ucp,   *,   2500,  500
			mmg_tactical_gloves_multicam_tropic,   *,   2500,  500
			mmg_tactical_gloves_atacs,   *,   2500,  500
